Date,Open,High,Low,Close,Adj Close,Volume,Mkt-RF,SMB,HML,RMW,CMA
2000-01-03,3.745536,4.017857,3.631696,3.997768,3.4784620000000004,133949200,-0.83,-0.33,-1.36,-1.24,-1.01
2000-01-04,3.866071,3.950893,3.613839,3.660714,3.185191,128094400,-3.86,0.5,1.76,0.38,1.28
2000-01-05,3.705357,3.948661,3.678571,3.714286,3.2318029999999998,194580400,-0.07,0.3,0.89,0.47,0.86
2000-01-06,3.790179,3.821429,3.392857,3.392857,2.952128,191993200,-0.54,-0.03,2.08,0.69,1.6
2000-01-07,3.446429,3.607143,3.410714,3.553571,3.0919659999999998,115183600,3.18,-0.91,-1.94,-0.78,-1.18
2000-01-10,3.642857,3.651786,3.383929,3.491071,3.037585,126266000,1.64,0.47,-1.66,-1.68,-0.68
2000-01-11,3.426339,3.549107,3.232143,3.3125,2.882209,110387200,-1.58,0.3,0.5,1.11,1.4
2000-01-12,3.392857,3.410714,3.089286,3.113839,2.7093540000000003,244017200,-0.51,-0.04,0.68,0.28,1.28
2000-01-13,3.3744419999999997,3.526786,3.303571,3.455357,3.00651,258171200,1.55,0.25,-0.54,-1.41,-1.23
2000-01-14,3.571429,3.651786,3.549107,3.587054,3.121099,97594000,1.06,0.3,-1.27,-0.03,-0.44
2000-01-18,3.607143,3.785714,3.587054,3.712054,3.229861,114794400,-0.17,1.83,-0.99,-0.98,-0.37
2000-01-19,3.772321,3.883929,3.691964,3.805804,3.311433,149410800,0.33,0.72,-0.67,-1.15,0.3
2000-01-20,4.125,4.339286,4.053571,4.053571,3.527016,457783200,-0.44,1.44,-0.8,-1.15,-0.51
2000-01-21,4.080357,4.080357,3.935268,3.975446,3.4590389999999998,123981200,0.03,0.87,-0.25,-1.29,-0.29
2000-01-24,3.872768,4.026786,3.754464,3.794643,3.3017220000000003,110219200,-2.56,1.01,1.12,0.54,0.89
2000-01-25,3.75,4.040179,3.65625,4.008929,3.488172,124286400,0.46,-0.92,-0.28,-0.81,-0.42
2000-01-26,3.928571,4.078125,3.919643,3.935268,3.4240809999999997,91789600,-0.36,0.06,0.79,0.03,1.29
2000-01-27,3.886161,4.035714,3.821429,3.928571,3.418254,85036000,-0.33,-0.37,0.18,-0.28,0.41
2000-01-28,3.863839,3.959821,3.59375,3.629464,3.158,105837200,-2.75,0.25,1.51,0.62,0.6
2000-01-31,3.607143,3.709821,3.375,3.705357,3.2240349999999998,175420000,1.61,-3.05,-0.15,0.48,0.35
2000-02-01,3.714286,3.75,3.571429,3.580357,3.115272,79508800,1.25,0.12,-0.7,-0.2,-1.29
2000-02-02,3.598214,3.647321,3.464286,3.529018,3.070602,116048800,0.22,1.33,-0.62,-1.06,-0.51
2000-02-03,3.582589,3.723214,3.580357,3.689732,3.21044,118798400,1.39,0.73,-1.69,-1.13,-0.96
2000-02-04,3.712054,3.928571,3.700893,3.857143,3.356104,106330000,0.15,1.02,-0.75,-0.31,-0.47
2000-02-07,3.857143,4.080357,3.783482,4.073661,3.544496,110266800,0.22,1.05,-1.21,-1.32,-0.11
2000-02-08,4.071429,4.147321,3.973214,4.102679,3.5697449999999997,102160800,1.24,-0.08,-1.69,-1.47,-1.12
2000-02-09,4.075893,4.183036,4.015625,4.022321,3.499825,74841200,-1.81,1.58,-0.39,-0.16,0.24
2000-02-10,4.03125,4.066964,3.928571,4.053571,3.527016,75745600,0.51,0.76,-1.21,-1.16,-0.81
2000-02-11,4.058036,4.075893,3.866071,3.883929,3.37941,53062800,-1.81,1.09,0.61,-0.66,0.68
2000-02-14,3.904018,4.138393,3.879464,4.136161,3.598878,91884800,0.2,0.54,-0.42,0.16,-0.26
2000-02-15,4.116071,4.283482,4.113839,4.25,3.6979290000000002,121436000,0.77,-0.76,0.48,-0.1,0.7
2000-02-16,4.205357,4.21875,4.004464,4.075893,3.546439,94561600,-0.58,1.81,-0.23,-1.79,0.46
2000-02-17,4.113839,4.125,4.040179,4.102679,3.5697449999999997,72374400,0.37,1.7,-1.64,-1.83,-0.81
2000-02-18,4.09375,4.120536,3.959821,3.973214,3.4570980000000002,58360400,-2.69,0.94,0.79,-0.53,0.37
2000-02-22,3.933036,4.176339,3.810268,4.064732,3.5367269999999995,105574000,0.14,-0.96,0.1,0.79,0.52
2000-02-23,4.044085,4.25,3.964286,4.151786,3.6124730000000005,118274800,1.09,0.4,-1.98,-0.71,-1.55
2000-02-24,4.189732,4.254464,3.991071,4.114398,3.579942,94108000,-0.16,0.79,-1.2,-1.1,-1.18
2000-02-25,4.100446,4.178571,3.933036,3.941964,3.429907,62286000,-1.08,1.89,-0.11,-0.67,0.28
2000-02-28,3.933036,4.107143,3.870536,4.044643,3.519247,82082000,0.78,-0.22,0.13,0.18,0.63
2000-02-29,4.055804,4.1875,4.020089,4.09375,3.561976,92240400,1.65,1.52,-1.17,-0.9,0.78
2000-03-01,4.234375,4.716518,4.232143,4.654018,4.049466000000001,269250800,1.29,0.79,-0.2,-0.81,-0.71
2000-03-02,4.535714,4.569196,4.310268,4.357143,3.7911550000000003,77814800,-0.04,-0.26,0.41,0.14,0.12
2000-03-03,4.459821,4.5797989999999995,4.285714,4.571429,3.977604,80841600,2.23,-0.07,-1.6,-0.62,-0.68
2000-03-06,4.5,4.611607,4.464286,4.488839,3.905743,52640000,-0.85,0.98,0.26,-1.47,0.48
2000-03-07,4.515625,4.551339,4.325893,4.388393,3.818345,68252800,-2.32,1.23,0.96,-0.3,-1.04
2000-03-08,4.388393,4.426339,4.234375,4.357143,3.7911550000000003,67807600,0.62,-0.49,-1.13,0.5,-0.69
2000-03-09,4.316964,4.464286,4.223214,4.366071,3.7989230000000003,69179600,2.36,-0.65,-1.14,0.91,-1.17
2000-03-10,4.345982,4.569196,4.321429,4.491071,3.907685,62151600,-0.35,-0.09,0.5,-0.03,-0.37
2000-03-13,4.361607,4.517857,4.267857,4.332589,3.769789,75989200,-1.24,-0.7,1.34,1.31,0.21
2000-03-14,4.329241000000001,4.4375,4.071429,4.080357,3.550323,107144800,-2.08,-0.72,1.94,2.27,0.22
2000-03-15,4.129464,4.294643,4.075893,4.151786,3.6124730000000005,110902400,1.22,-3.75,1.94,3.08,2.1
2000-03-16,4.189732,4.357143,4.089286,4.341518,3.7775589999999997,94525200,4.37,-2.56,0.4,0.45,0.1
